nodeid,,nodetype,age,gender,marrige,withkids,student,workstatue,residentinneighbor,educationlevel,eventtopic,spacefunction,date
625,,Actors,35-55,Female,No,No,No,Self-employed,No,Undergraduate,,,1/1/22
396,,Actors,18-35,Male,Yes,No,No,Employed,No,Graduate,,,5/1/20
650,,Actors,18-35,Male,No,No,No,Employed,No,Undergraduate,,,3/21/22
543,,Actors,35-55,Male,No,No,No,Self-employed,No,Graduate,,,10/1/20
88,,Organization,,,,,,,,,Culture And Arts,,4/1/21
379,,Actors,18-35,Male,No,No,No,Freelancer,No,Graduate,,,3/2/21
395,,Actors,35-55,Female,No,No,No,Employed,No,Graduate,,,5/1/20
276,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Undergraduate,,,5/1/21
827,,Media Content,,,,,,,,,Environment And Sustainability,,5/6/20
828,,Media Content,,,,,,,,,Culture And Arts,,7/1/20
829,,Media Content,,,,,,,,,Culture And Arts,,7/10/20
830,,Media Content,,,,,,,,,Culture And Arts,,7/12/20
831,,Media Content,,,,,,,,,Environment And Sustainability,,7/14/20
832,,Media Content,,,,,,,,,Technology And Education,,9/3/20
833,,Media Content,,,,,,,,,Technology And Education,,9/8/20
834,,Media Content,,,,,,,,,Environment And Sustainability,,12/19/20
835,,Media Content,,,,,,,,,Environment And Sustainability,,12/23/20
836,,Media Content,,,,,,,,,Technology And Education,,1/15/21
837,,Media Content,,,,,,,,,Community And Organization,,2/6/21
838,,Media Content,,,,,,,,,Technology And Education,,3/1/21
839,,Media Content,,,,,,,,,Community And Organization,,3/5/21
840,,Media Content,,,,,,,,,Environment And Sustainability,,3/26/21
841,,Media Content,,,,,,,,,Community And Organization,,4/7/21
842,,Media Content,,,,,,,,,Community And Organization,,5/9/21
843,,Media Content,,,,,,,,,Environment And Sustainability,,5/13/21
844,,Media Content,,,,,,,,,Technology And Education,,5/27/21
845,,Media Content,,,,,,,,,Technology And Education,,5/21/21
846,,Media Content,,,,,,,,,Environment And Sustainability,,5/26/21
847,,Media Content,,,,,,,,,Culture And Arts,,5/16/21
848,,Media Content,,,,,,,,,Community And Organization,,6/14/21
849,,Media Content,,,,,,,,,Community And Organization,,6/24/21
850,,Media Content,,,,,,,,,Environment And Sustainability,,6/29/21
851,,Media Content,,,,,,,,,Culture And Arts,,6/30/21
852,,Media Content,,,,,,,,,Culture And Arts,,7/1/21
853,,Media Content,,,,,,,,,Technology And Education,,7/10/21
854,,Media Content,,,,,,,,,Community And Organization,,7/16/21
855,,Media Content,,,,,,,,,Community And Organization,,7/26/21
856,,Media Content,,,,,,,,,Environment And Sustainability,,7/26/21
857,,Media Content,,,,,,,,,Community And Organization,,8/8/21
858,,Media Content,,,,,,,,,Environment And Sustainability,,8/14/21
859,,Media Content,,,,,,,,,Environment And Sustainability,,8/15/21
860,,Media Content,,,,,,,,,Environment And Sustainability,,8/28/21
861,,Media Content,,,,,,,,,Community And Organization,,9/4/21
862,,Media Content,,,,,,,,,Environment And Sustainability,,9/6/21
863,,Media Content,,,,,,,,,Technology And Education,,9/6/21
864,,Media Content,,,,,,,,,Community And Organization,,9/6/21
865,,Media Content,,,,,,,,,Community And Organization,,9/30/21
866,,Media Content,,,,,,,,,Environment And Sustainability,,10/1/21
867,,Media Content,,,,,,,,,Environment And Sustainability,,10/13/21
868,,Media Content,,,,,,,,,Environment And Sustainability,,10/16/21
869,,Media Content,,,,,,,,,Environment And Sustainability,,10/24/21
870,,Media Content,,,,,,,,,Technology And Education,,10/25/21
871,,Media Content,,,,,,,,,Community And Organization,,11/15/21
872,,Media Content,,,,,,,,,Environment And Sustainability,,11/17/21
873,,Media Content,,,,,,,,,Culture And Arts,,12/3/21
874,,Media Content,,,,,,,,,Culture And Arts,,12/8/21
875,,Media Content,,,,,,,,,Community And Organization,,12/28/21
877,,Media Content,,,,,,,,,Culture And Arts,,12/31/21
878,,Media Content,,,,,,,,,Community And Organization,,1/31/22
879,,Media Content,,,,,,,,,Community And Organization,,2/1/22
880,,Media Content,,,,,,,,,Culture And Arts,,2/8/22
881,,Media Content,,,,,,,,,Technology And Education,,2/13/22
882,,Media Content,,,,,,,,,Environment And Sustainability,,2/21/22
883,,Media Content,,,,,,,,,Culture And Arts,,4/1/22
884,,Media Content,,,,,,,,,Technology And Education,,4/11/22
885,,Media Content,,,,,,,,,Culture And Arts,,4/14/22
886,,Media Content,,,,,,,,,Environment And Sustainability,,4/20/22
887,,Media Content,,,,,,,,,Technology And Education,,5/7/22
888,,Media Content,,,,,,,,,Environment And Sustainability,,4/20/22
889,,Media Content,,,,,,,,,Culture And Arts,,5/14/22
890,,Media Content,,,,,,,,,Environment And Sustainability,,5/22/22
891,,Media Content,,,,,,,,,Environment And Sustainability,,6/15/22
892,,Media Content,,,,,,,,,Environment And Sustainability,,6/15/22
893,,Media Content,,,,,,,,,Technology And Education,,6/16/22
894,,Media Content,,,,,,,,,Culture And Arts,,7/8/22
895,,Media Content,,,,,,,,,Culture And Arts,,7/25/22
896,,Media Content,,,,,,,,,Environment And Sustainability,,7/27/22
897,,Media Content,,,,,,,,,Culture And Arts,,7/28/22
898,,Media Content,,,,,,,,,Technology And Education,,8/13/22
899,,Media Content,,,,,,,,,Culture And Arts,,8/17/22
900,,Media Content,,,,,,,,,Community And Organization,,10/8/22
901,,Media Content,,,,,,,,,Culture And Arts,,10/18/22
902,,Media Content,,,,,,,,,Technology And Education,,11/2/22
903,,Media Content,,,,,,,,,Culture And Arts,,11/1/22
904,,Media Content,,,,,,,,,Environment And Sustainability,,11/11/22
905,,Media Content,,,,,,,,,Community And Organization,,11/24/22
906,,Media Content,,,,,,,,,Community And Organization,,11/27/22
907,,Media Content,,,,,,,,,Community And Organization,,12/3/22
908,,Media Content,,,,,,,,,Environment And Sustainability,,12/13/22
909,,Media Content,,,,,,,,,Community And Organization,,12/27/22
910,,Media Content,,,,,,,,,Technology And Education,,1/3/23
911,,Media Content,,,,,,,,,Environment And Sustainability,,1/5/23
912,,Media Content,,,,,,,,,Culture And Arts,,1/21/23
913,,Media Content,,,,,,,,,Technology And Education,,3/5/23
914,,Media Content,,,,,,,,,Environment And Sustainability,,3/12/23
915,,Media Content,,,,,,,,,Technology And Education,,3/14/23
916,,Media Content,,,,,,,,,Culture And Arts,,3/14/23
917,,Media Content,,,,,,,,,Environment And Sustainability,,3/29/23
918,,Media Content,,,,,,,,,Technology And Education,,4/4/23
919,,Media Content,,,,,,,,,Environment And Sustainability,,4/8/23
920,,Media Content,,,,,,,,,Technology And Education,,4/12/23
921,,Media Content,,,,,,,,,Environment And Sustainability,,4/13/23
922,,Media Content,,,,,,,,,Culture And Arts,,4/20/23
923,,Media Content,,,,,,,,,Lifestyle And Health,,5/4/23
924,,Media Content,,,,,,,,,Technology And Education,,5/24/23
925,,Media Content,,,,,,,,,Technology And Education,,7/19/23
926,,Media Content,,,,,,,,,Technology And Education,,7/23/23
927,,Media Content,,,,,,,,,Culture And Arts,,7/26/23
928,,Media Content,,,,,,,,,Environment And Sustainability,,7/26/23
929,,Media Content,,,,,,,,,Technology And Education,,9/15/23
930,,Media Content,,,,,,,,,Environment And Sustainability,,9/30/23
931,,Media Content,,,,,,,,,Technology And Education,,10/1/23
932,,Media Content,,,,,,,,,Technology And Education,,10/11/23
933,,Media Content,,,,,,,,,Lifestyle And Health,,10/12/23
934,,Media Content,,,,,,,,,Lifestyle And Health,,10/20/23
935,,Media Content,,,,,,,,,Lifestyle And Health,,12/4/23
936,,Media Content,,,,,,,,,Community And Organization,,6/10/21
937,,Media Content,,,,,,,,,Technology And Education,,6/21/21
938,,Media Content,,,,,,,,,Environment And Sustainability,,7/5/21
939,,Media Content,,,,,,,,,Environment And Sustainability,,7/5/21
940,,Media Content,,,,,,,,,Culture And Arts,,7/19/21
941,,Media Content,,,,,,,,,Culture And Arts,,8/2/21
942,,Media Content,,,,,,,,,Technology And Education,,8/16/21
943,,Media Content,,,,,,,,,Environment And Sustainability,,8/30/21
944,,Media Content,,,,,,,,,Culture And Arts,,9/13/21
945,,Media Content,,,,,,,,,Environment And Sustainability,,9/27/21
946,,Media Content,,,,,,,,,Culture And Arts,,10/11/21
947,,Media Content,,,,,,,,,Culture And Arts,,10/25/21
948,,Media Content,,,,,,,,,Community And Organization,,11/8/21
949,,Media Content,,,,,,,,,Lifestyle And Health,,11/22/21
950,,Media Content,,,,,,,,,Culture And Arts,,11/12/21
951,,Media Content,,,,,,,,,Lifestyle And Health,,12/20/21
952,,Media Content,,,,,,,,,Lifestyle And Health,,12/27/21
953,,Media Content,,,,,,,,,Lifestyle And Health,,1/4/22
954,,Media Content,,,,,,,,,Technology And Education,,1/17/22
955,,Media Content,,,,,,,,,Technology And Education,,1/26/22
956,,Media Content,,,,,,,,,Lifestyle And Health,,2/7/22
957,,Media Content,,,,,,,,,Lifestyle And Health,,2/7/22
958,,Media Content,,,,,,,,,Environment And Sustainability,,2/14/22
959,,Media Content,,,,,,,,,Environment And Sustainability,,2/21/22
960,,Media Content,,,,,,,,,Culture And Arts,,3/7/22
961,,Media Content,,,,,,,,,Technology And Education,,3/21/22
962,,Media Content,,,,,,,,,Lifestyle And Health,,3/29/22
963,,Media Content,,,,,,,,,Culture And Arts,,4/6/22
964,,Media Content,,,,,,,,,Lifestyle And Health,,4/19/22
965,,Media Content,,,,,,,,,Technology And Education,,4/29/22
966,,Media Content,,,,,,,,,Culture And Arts,,5/9/22
967,,Media Content,,,,,,,,,Culture And Arts,,5/20/22
968,,Media Content,,,,,,,,,Culture And Arts,,6/1/22
969,,Media Content,,,,,,,,,Lifestyle And Health,,6/13/22
970,,Media Content,,,,,,,,,Lifestyle And Health,,6/21/22
971,,Media Content,,,,,,,,,Culture And Arts,,7/4/22
972,,Media Content,,,,,,,,,Culture And Arts,,7/11/22
973,,Media Content,,,,,,,,,Culture And Arts,,7/18/22
974,,Media Content,,,,,,,,,Culture And Arts,,7/25/22
975,,Media Content,,,,,,,,,Community And Organization,,8/2/22
976,,Media Content,,,,,,,,,Community And Organization,,8/9/22
977,,Media Content,,,,,,,,,Community And Organization,,8/16/22
978,,Media Content,,,,,,,,,Community And Organization,,8/23/22
979,,Media Content,,,,,,,,,Community And Organization,,8/30/22
980,,Media Content,,,,,,,,,Community And Organization,,9/6/22
981,,Media Content,,,,,,,,,Culture And Arts,,9/13/22
982,,Media Content,,,,,,,,,Culture And Arts,,9/27/22
983,,Media Content,,,,,,,,,Culture And Arts,,10/11/22
984,,Media Content,,,,,,,,,Lifestyle And Health,,10/25/22
985,,Media Content,,,,,,,,,Culture And Arts,,11/8/22
986,,Media Content,,,,,,,,,Culture And Arts,,11/22/22
987,,Media Content,,,,,,,,,Culture And Arts,,11/29/22
988,,Media Content,,,,,,,,,Technology And Education,,12/6/22
989,,Media Content,,,,,,,,,Technology And Education,,12/20/22
990,,Media Content,,,,,,,,,Technology And Education,,1/3/23
991,,Media Content,,,,,,,,,Lifestyle And Health,,1/31/23
992,,Media Content,,,,,,,,,Culture And Arts,,2/14/23
993,,Media Content,,,,,,,,,Environment And Sustainability,,2/27/23
994,,Media Content,,,,,,,,,Lifestyle And Health,,3/14/23
995,,Media Content,,,,,,,,,Lifestyle And Health,,3/28/23
996,,Media Content,,,,,,,,,Lifestyle And Health,,4/11/23
997,,Media Content,,,,,,,,,Lifestyle And Health,,4/18/23
998,,Media Content,,,,,,,,,Lifestyle And Health,,5/9/23
999,,Media Content,,,,,,,,,Culture And Arts,,5/23/23
1000,,Media Content,,,,,,,,,Culture And Arts,,6/6/23
1001,,Media Content,,,,,,,,,Culture And Arts,,6/13/23
1002,,Media Content,,,,,,,,,Technology And Education,,6/27/23
1003,,Media Content,,,,,,,,,Culture And Arts,,7/11/23
1004,,Media Content,,,,,,,,,Lifestyle And Health,,7/25/23
1005,,Media Content,,,,,,,,,Environment And Sustainability,,8/8/23
1006,,Media Content,,,,,,,,,Lifestyle And Health,,8/22/23
1007,,Media Content,,,,,,,,,Culture And Arts,,9/3/23
1008,,Media Content,,,,,,,,,Lifestyle And Health,,9/19/23
1009,,Media Content,,,,,,,,,Environment And Sustainability,,9/26/23
1010,,Media Content,,,,,,,,,Lifestyle And Health,,10/10/23
1011,,Media Content,,,,,,,,,Technology And Education,,10/24/23
1012,,Media Content,,,,,,,,,Technology And Education,,11/7/23
1013,,Media Content,,,,,,,,,Lifestyle And Health,,11/21/23
